Country,Crop,Acres
Malawi,Oranges,32652
Malawi,Tangerines,70838
Malawi,Lemons/Limes,8431
Malawi,Apples,1841
Malawi,Peaches,4151
Malawi,Plums/Prunes,67
Malawi,Grapes,96
Malawi,Avocados,58771
Malawi,Mangoes,94061
Malawi,Bananas,112129
Malawi,Cashews,247
Malawi,Coffee,8626
Malaysia,Oranges,3842
Malaysia,Lemons/Limes,5152
Malaysia,Grapefruit,1994
Malaysia,Avocados,131
Malaysia,Mangoes,16801
Malaysia,Bananas,56375
Malaysia,Coconuts,179519
Malaysia,Cashews,18827
Malaysia,Coffee,3585
Maldives,Lemons/Limes,12
Maldives,Bananas,20
Maldives,Coconuts,44
Mali,Oranges,67180
Mali,Tangerines,11599
Mali,Lemons/Limes,10986
Mali,Grapefruit,319
Mali,Mangoes,116856
Mali,Bananas,97233
Mali,Cashews,180285
Mali,Dates,188
Malta,Grapes,1137
Marshall Islands,Coconuts,15652
Mauritania,Dates,22931
Mauritius,Citrus (Total),469
Mauritius,Avocados,94
Mauritius,Bananas,1567
Mauritius,Coconuts,1045
Mauritius,Pistachios,7
Mexico,Oranges,832430
Mexico,Tangerines,85251
Mexico,Lemons/Limes,499221
Mexico,Grapefruit,50439
Mexico,Apples,135784
Mexico,Pears,8794
Mexico,Peaches,81409
Mexico,Plums/Prunes,28627
Mexico,Apricots,324
Mexico,Grapes,56436
Mexico,Avocados,583494
Mexico,Olives,10581
Mexico,Figs,4223
Mexico,Mangoes,549559
Mexico,Bananas,208337
Mexico,Coconuts,308394
Mexico,Almonds,82
Mexico,Walnuts,289395
Mexico,Pistachios,287
Mexico,Cashews,1836
Mexico,Dates,6069
Mexico,Coffee,1602444
Micronesia (Federated States of),Bananas,949
Micronesia (Federated States of),Coconuts,44039
Mongolia,Hazelnuts,924
Montenegro,Oranges,2456
Montenegro,Tangerines,440
Montenegro,Apples,2595
Montenegro,Pears,781
Montenegro,Peaches,237
Montenegro,Plums/Prunes,5555
Montenegro,Grapes,7166
Montenegro,Olives,1596
Montenegro,Figs,3343
Montenegro,Walnuts,1075
Morocco,Oranges,144821
Morocco,Tangerines,140561
Morocco,Lemons/Limes,9279
Morocco,Grapefruit,264
Morocco,Apples,128423
Morocco,Pears,10050
Morocco,Peaches,38494
Morocco,Plums/Prunes,35035
Morocco,Apricots,22951
Morocco,Grapes,97041
Morocco,Avocados,23742
Morocco,Olives,2968492
Morocco,Figs,164404
Morocco,Mangoes,57
Morocco,Bananas,20959
Morocco,Almonds,558984
Morocco,Walnuts,17396
Morocco,Pistachios,40
Morocco,Dates,161686
Mozambique,Oranges,7275
Mozambique,Tangerines,259
Mozambique,Lemons/Limes,2231
Mozambique,Grapefruit,6363
Mozambique,Mangoes,12506
Mozambique,Bananas,164723
Mozambique,Coconuts,205097
Mozambique,Cashews,424576
Mozambique,Coffee,2011
Myanmar,Mangoes,7082
Myanmar,Coconuts,120834
Myanmar,Cashews,4334
Myanmar,Coffee,30154
Namibia,Oranges,581
Namibia,Grapes,22393
Namibia,Mangoes,64
Namibia,Dates,1846
Nauru,Coconuts,600
Nepal,Oranges,10875
Nepal,Tangerines,45954
Nepal,Lemons/Limes,18093
Nepal,Apples,14349
Nepal,Pears,7682
Nepal,Peaches,3670
Nepal,Plums/Prunes,3872
Nepal,Apricots,781
Nepal,Mangoes,114901
Nepal,Bananas,47778
Nepal,Coconuts,825
Nepal,Almonds,40
Nepal,Walnuts,5686
Nepal,Coffee,8268
Netherlands (Kingdom of the),Apples,14579
Netherlands (Kingdom of the),Pears,24958
Netherlands (Kingdom of the),Plums/Prunes,642
Netherlands (Kingdom of the),Grapes,519
New Caledonia,Oranges,190
New Caledonia,Lemons/Limes,610
New Caledonia,Mangoes,319
New Caledonia,Bananas,993
New Caledonia,Coconuts,7413
New Caledonia,Coffee,27
New Zealand,Oranges,1542
New Zealand,Tangerines,1554
New Zealand,Lemons/Limes,897
New Zealand,Grapefruit,77
New Zealand,Apples,24243
New Zealand,Pears,761
New Zealand,Peaches,1327
New Zealand,Plums/Prunes,687
New Zealand,Apricots,670
New Zealand,Grapes,85508
New Zealand,Avocados,13055
New Zealand,Walnuts,813
Nicaragua,Oranges,60751
Nicaragua,Bananas,4151
Nicaragua,Coconuts,5160
Nicaragua,Coffee,403821
Niger,Mangoes,100641
Niger,Dates,13964
Nigeria,Citrus (Total),2117391
Nigeria,Mangoes,324091
Nigeria,Bananas,1386118
Nigeria,Coconuts,85550
Nigeria,Cashews,420078
Nigeria,Coffee,3435
Niue,Lemons/Limes,69
Niue,Bananas,101
Niue,Coconuts,13321
North Macedonia,Apples,48163
North Macedonia,Pears,13527
North Macedonia,Peaches,4015
North Macedonia,Plums/Prunes,29097
North Macedonia,Apricots,1389
North Macedonia,Grapes,56950
North Macedonia,Olives,13329
North Macedonia,Figs,109
North Macedonia,Almonds,1263
North Macedonia,Walnuts,24913
Norway,Apples,3944
Norway,Pears,175
Norway,Plums/Prunes,991
Oman,Lemons/Limes,4492
Oman,Mangoes,3778
Oman,Bananas,3884
Oman,Coconuts,1574
Oman,Dates,65125
Pakistan,Oranges,17374
Pakistan,Tangerines,317424
Pakistan,Lemons/Limes,29850
Pakistan,Grapefruit,746
Pakistan,Apples,187582
Pakistan,Pears,3170
Pakistan,Peaches,36334
Pakistan,Plums/Prunes,14562
Pakistan,Apricots,34822
Pakistan,Grapes,39253
Pakistan,Figs,361
Pakistan,Mangoes,527913
Pakistan,Bananas,82031
Pakistan,Coconuts,3578
Pakistan,Almonds,19279
Pakistan,Walnuts,4253
Pakistan,Pistachios,502
Pakistan,Dates,234419
Palestine,Oranges,628
Palestine,Tangerines,403
Palestine,Lemons/Limes,1334
Palestine,Grapefruit,126
Palestine,Apples,203
Palestine,Pears,40
Palestine,Peaches,581
Palestine,Plums/Prunes,482
Palestine,Apricots,512
Palestine,Grapes,8122
Palestine,Avocados,425
Palestine,Olives,164117
Palestine,Figs,689
Palestine,Mangoes,1381
Palestine,Bananas,227
Palestine,Almonds,2118
Palestine,Walnuts,203
Palestine,Dates,7636
Panama,Oranges,39529
Panama,Tangerines,741
Panama,Lemons/Limes,4166
Panama,Avocados,1421
Panama,Mangoes,1315
Panama,Bananas,19141
Panama,Coconuts,13507
Panama,Coffee,33920
Papua New Guinea,Bananas,187894
Papua New Guinea,Coconuts,423091
Papua New Guinea,Coffee,95536
Paraguay,Oranges,12387
Paraguay,Tangerines,1957
Paraguay,Lemons/Limes,1636
Paraguay,Grapefruit,2179
Paraguay,Apples,208
Paraguay,Pears,82
Paraguay,Peaches,504
Paraguay,Plums/Prunes,793
Paraguay,Grapes,566
Paraguay,Avocados,6146
Paraguay,Mangoes,11058
Paraguay,Bananas,21031
Paraguay,Coffee,764
Peru,Oranges,82321
Peru,Tangerines,51556
Peru,Lemons/Limes,70072
Peru,Grapefruit,2140
Peru,Apples,17947
Peru,Pears,1159
Peru,Peaches,13257
Peru,Plums/Prunes,2602
Peru,Apricots,294
Peru,Grapes,93512
Peru,Avocados,149874
Peru,Olives,65678
Peru,Figs,1171
Peru,Mangoes,99398
Peru,Bananas,431900
Peru,Coconuts,6810
Peru,Walnuts,133
Peru,Cashews,1468
Peru,Dates,385
Peru,Coffee,1034851
Philippines,Oranges,2844
Philippines,Tangerines,20858
Philippines,Lemons/Limes,1285
Philippines,Grapefruit,13272
Philippines,Grapes,808
Philippines,Avocados,13035
Philippines,Mangoes,475685
Philippines,Bananas,456796
Philippines,Coconuts,8906173
Philippines,Cashews,60869
Philippines,Coffee,277447
Poland,Apples,375352
Poland,Pears,13591
Poland,Peaches,1977
Poland,Plums/Prunes,40772
Poland,Apricots,2471
Poland,Grapes,2718
Poland,Walnuts,8402
Poland,Hazelnuts,13838
Portugal,Oranges,42527
Portugal,Tangerines,7067
Portugal,Lemons/Limes,4151
Portugal,Grapefruit,49
Portugal,Apples,33928
Portugal,Pears,26811
Portugal,Peaches,9464
Portugal,Plums/Prunes,4053
Portugal,Apricots,1483
Portugal,Grapes,434386
Portugal,Avocados,7883
Portugal,Olives,937936
Portugal,Figs,8945
Portugal,Bananas,2866
Portugal,Almonds,157851
Portugal,Walnuts,13566
Portugal,Hazelnuts,1359
Puerto Rico,Oranges,3128
Puerto Rico,Lemons/Limes,1035
Puerto Rico,Grapefruit,64
Puerto Rico,Avocados,855
Puerto Rico,Mangoes,3435
Puerto Rico,Bananas,5162
Puerto Rico,Coconuts,198
Puerto Rico,Coffee,18414
Qatar,Citrus (Total),400
Qatar,Figs,22
Qatar,Mangoes,5
Qatar,Almonds,47
Qatar,Dates,6978
Republic of Korea,Tangerines,54672
Republic of Korea,Apples,85506
Republic of Korea,Pears,23920
Republic of Korea,Peaches,50197
Republic of Korea,Plums/Prunes,16467
Republic of Korea,Grapes,36213
Republic of Korea,Walnuts,1468
Republic of Moldova,Apples,116579
Republic of Moldova,Pears,5767
Republic of Moldova,Peaches,12526
Republic of Moldova,Plums/Prunes,47886
Republic of Moldova,Apricots,9442
Republic of Moldova,Grapes,256339
Republic of Moldova,Almonds,860
Republic of Moldova,Walnuts,57086
Republic of Moldova,Hazelnuts,1357
Romania,Apples,133610
Romania,Pears,7907
Romania,Peaches,3188
Romania,Plums/Prunes,164844
Romania,Apricots,4843
Romania,Grapes,394726
Romania,Walnuts,6993
Romania,Hazelnuts,2076
Russian Federation,Oranges,54
Russian Federation,Apples,581470
Russian Federation,Pears,24211
Russian Federation,Peaches,16902
Russian Federation,Plums/Prunes,128028
Russian Federation,Apricots,35534
Russian Federation,Grapes,192440
Rwanda,Oranges,4144
Rwanda,Lemons/Limes,3590
Rwanda,Avocados,1008
Rwanda,Mangoes,435
Rwanda,Bananas,473925
Rwanda,Coffee,97606
Saint Kitts and Nevis,Coconuts,1727
Saint Lucia,Oranges,15
Saint Lucia,Lemons/Limes,54
Saint Lucia,Grapefruit,40
Saint Lucia,Avocados,111
Saint Lucia,Mangoes,220
Saint Lucia,Bananas,578
Saint Lucia,Coconuts,5960
Saint Vincent and the Grenadines,Oranges,12
Saint Vincent and the Grenadines,Lemons/Limes,44
Saint Vincent and the Grenadines,Grapefruit,10
Saint Vincent and the Grenadines,Apples,146
Saint Vincent and the Grenadines,Pears,126
Saint Vincent and the Grenadines,Mangoes,163
Saint Vincent and the Grenadines,Bananas,14747
Saint Vincent and the Grenadines,Coconuts,1213
Saint Vincent and the Grenadines,Coffee,1399
Samoa,Citrus (Total),381
Samoa,Avocados,119
Samoa,Mangoes,301
Samoa,Bananas,6790
Samoa,Coconuts,49802
Samoa,Coffee,96
Sao Tome and Principe,Bananas,578
Sao Tome and Principe,Coconuts,670
Sao Tome and Principe,Coffee,321
Saudi Arabia,Lemons/Limes,9941
Saudi Arabia,Peaches,3800
Saudi Arabia,Grapes,11663
Saudi Arabia,Olives,79622
Saudi Arabia,Figs,3511
Saudi Arabia,Mangoes,17213
Saudi Arabia,Bananas,1853
Saudi Arabia,Almonds,195
Saudi Arabia,Dates,386620
Senegal,Oranges,19309
Senegal,Mangoes,44484
Senegal,Bananas,3363
Senegal,Coconuts,4935
Senegal,Cashews,56152
Serbia,Apples,67344
Serbia,Pears,12382
Serbia,Peaches,17493
Serbia,Plums/Prunes,178714
Serbia,Apricots,15054
Serbia,Grapes,49354
Serbia,Walnuts,8429
Serbia,Hazelnuts,17582
Seychelles,Oranges,10
Seychelles,Lemons/Limes,7
Seychelles,Avocados,2
Seychelles,Mangoes,20
Seychelles,Bananas,242
Seychelles,Coconuts,3039
Sierra Leone,Citrus (Total),49384
Sierra Leone,Mangoes,22054
Sierra Leone,Coconuts,20589
Sierra Leone,Coffee,4151
Singapore,Coconuts,40
Slovakia,Apples,3805
Slovakia,Pears,247
Slovakia,Peaches,667
Slovakia,Plums/Prunes,1458
Slovakia,Apricots,469
Slovakia,Grapes,19249
Slovakia,Walnuts,2941
Slovenia,Apples,5016
Slovenia,Pears,544
Slovenia,Peaches,568
Slovenia,Plums/Prunes,173
Slovenia,Apricots,222
Slovenia,Grapes,35633
Slovenia,Olives,3880
Slovenia,Figs,49
Slovenia,Almonds,49
Slovenia,Walnuts,1384
Slovenia,Hazelnuts,494
Solomon Islands,Bananas,341
Solomon Islands,Coconuts,93900
Somalia,Oranges,3699
Somalia,Lemons/Limes,7710
Somalia,Grapefruit,3059
Somalia,Mangoes,996
Somalia,Bananas,3415
Somalia,Coconuts,14831
Somalia,Dates,6865
South Africa,Oranges,96801
South Africa,Tangerines,53619
South Africa,Lemons/Limes,89193
South Africa,Grapefruit,33569
South Africa,Apples,73000
South Africa,Pears,36562
South Africa,Peaches,27107
South Africa,Plums/Prunes,35289
South Africa,Apricots,8557
South Africa,Grapes,288080
South Africa,Avocados,49979
South Africa,Figs,1374
South Africa,Mangoes,16677
South Africa,Bananas,20129
South Sudan,Tangerines,4732
Spain,Oranges,356325
Spain,Tangerines,241002
Spain,Lemons/Limes,129903
Spain,Grapefruit,8006
Spain,Apples,72278
Spain,Pears,47222
Spain,Peaches,172306
Spain,Plums/Prunes,32741
Spain,Apricots,45541
Spain,Grapes,2280581
Spain,Avocados,48235
Spain,Olives,6511909
Spain,Figs,44726
Spain,Bananas,21968
Spain,Almonds,1882100
Spain,Walnuts,31407
Spain,Hazelnuts,31283
Sri Lanka,Oranges,15973
Sri Lanka,Lemons/Limes,23547
Sri Lanka,Avocados,8723
Sri Lanka,Mangoes,83467
Sri Lanka,Coconuts,1137521
Sri Lanka,Cashews,38870
Sri Lanka,Coffee,13855
Sudan,Oranges,58828
Sudan,Lemons/Limes,81107
Sudan,Grapefruit,66620
Sudan,Mangoes,86398
Sudan,Bananas,131670
Sudan,Dates,91609
Suriname,Oranges,2797
Suriname,Lemons/Limes,37
Suriname,Grapefruit,168
Suriname,Avocados,22
Suriname,Mangoes,99
Suriname,Bananas,1243
Suriname,Coconuts,432
Suriname,Coffee,719
Sweden,Apples,3583
Sweden,Pears,297
Sweden,Plums/Prunes,124
Sweden,Grapes,222
Switzerland,Apples,9111
Switzerland,Pears,1848
Switzerland,Peaches,30
Switzerland,Plums/Prunes,776
Switzerland,Apricots,1801
Switzerland,Grapes,36092
Switzerland,Walnuts,3504
Syrian Arab Republic,Oranges,63150
Syrian Arab Republic,Tangerines,20490
Syrian Arab Republic,Lemons/Limes,18474
Syrian Arab Republic,Grapefruit,23769
Syrian Arab Republic,Apples,127024
Syrian Arab Republic,Pears,8990
Syrian Arab Republic,Peaches,14977
Syrian Arab Republic,Plums/Prunes,8661
Syrian Arab Republic,Apricots,33871
Syrian Arab Republic,Grapes,108163
Syrian Arab Republic,Olives,1671265
Syrian Arab Republic,Figs,23440
Syrian Arab Republic,Bananas,17
Syrian Arab Republic,Almonds,175150
Syrian Arab Republic,Walnuts,7556
Syrian Arab Republic,Pistachios,149523
Syrian Arab Republic,Dates,1008
Tajikistan,Oranges,294
Tajikistan,Lemons/Limes,828
Tajikistan,Apples,105185
Tajikistan,Peaches,30288
Tajikistan,Plums/Prunes,26087
Tajikistan,Apricots,103065
Tajikistan,Grapes,87722
Tajikistan,Figs,793
Tajikistan,Almonds,10660
Tajikistan,Hazelnuts,1982
Thailand,Oranges,60615
Thailand,Tangerines,46735
Thailand,Lemons/Limes,40135
Thailand,Grapefruit,46036
Thailand,Grapes,12175
Thailand,Mangoes,523173
Thailand,Bananas,141601
Thailand,Coconuts,322279
Thailand,Cashews,37560
Thailand,Coffee,80359
Timor-Leste,Oranges,558
Timor-Leste,Avocados,848
Timor-Leste,Mangoes,1920
Timor-Leste,Bananas,2817
Timor-Leste,Coconuts,27182
Timor-Leste,Coffee,56251
Togo,Oranges,7935
Togo,Bananas,4623
Togo,Coconuts,9741
Togo,Cashews,13420
Togo,Coffee,109700
Tonga,Oranges,571
Tonga,Lemons/Limes,2713
Tonga,Bananas,1404
Tonga,Coconuts,5365
Tonga,Coffee,27
Trinidad and Tobago,Oranges,5691
Trinidad and Tobago,Lemons/Limes,1223
Trinidad and Tobago,Grapefruit,385
Trinidad and Tobago,Avocados,10
Trinidad and Tobago,Mangoes,427
Trinidad and Tobago,Bananas,2390
Trinidad and Tobago,Coconuts,8048
Trinidad and Tobago,Coffee,12882
Tunisia,Oranges,23277
Tunisia,Tangerines,23524
Tunisia,Lemons/Limes,9479
Tunisia,Grapefruit,11829
Tunisia,Apples,56357
Tunisia,Pears,11396
Tunisia,Peaches,35247
Tunisia,Plums/Prunes,8414
Tunisia,Apricots,17433
Tunisia,Grapes,58631
Tunisia,Avocados,77
Tunisia,Olives,5255301
Tunisia,Figs,40824
Tunisia,Almonds,493975
Tunisia,Pistachios,66931
Tunisia,Hazelnuts,124
Tunisia,Dates,191269
Turkmenistan,Apples,15059
Turkmenistan,Peaches,5083
Turkmenistan,Plums/Prunes,4636
Turkmenistan,Apricots,6662
Turkmenistan,Grapes,48801
Turkmenistan,Almonds,3689
Tuvalu,Bananas,40
Tuvalu,Coconuts,6163
TÃ¼rkiye,Oranges,122406
TÃ¼rkiye,Tangerines,167671
TÃ¼rkiye,Lemons/Limes,136960
TÃ¼rkiye,Grapefruit,12311
TÃ¼rkiye,Apples,422404
TÃ¼rkiye,Pears,58579
TÃ¼rkiye,Peaches,132280
TÃ¼rkiye,Plums/Prunes,53597
TÃ¼rkiye,Apricots,350521
TÃ¼rkiye,Grapes,950210
TÃ¼rkiye,Avocados,8943
TÃ¼rkiye,Olives,2226727
TÃ¼rkiye,Figs,141460
TÃ¼rkiye,Bananas,35096
TÃ¼rkiye,Almonds,156333
TÃ¼rkiye,Walnuts,411417
TÃ¼rkiye,Pistachios,1009940
TÃ¼rkiye,Hazelnuts,1838577
Uganda,Coffee,2254376
Ukraine,Apples,190024
Ukraine,Pears,27429
Ukraine,Peaches,3707
Ukraine,Plums/Prunes,41267
Ukraine,Apricots,14826
Ukraine,Grapes,71660
Ukraine,Walnuts,31877
Ukraine,Hazelnuts,741
United Arab Emirates,Lemons/Limes,383
United Arab Emirates,Grapes,35
United Arab Emirates,Figs,136
United Arab Emirates,Mangoes,309
United Arab Emirates,Bananas,12
United Arab Emirates,Almonds,47
United Arab Emirates,Dates,100540
United Kingdom of Great Britain and Northern Ireland,Apples,36458
United Kingdom of Great Britain and Northern Ireland,Pears,3650
United Kingdom of Great Britain and Northern Ireland,Plums/Prunes,1038
United Kingdom of Great Britain and Northern Ireland,Grapes,9711
United Republic of Tanzania,Oranges,65409
United Republic of Tanzania,Lemons/Limes,4398
United Republic of Tanzania,Pears,1712
United Republic of Tanzania,Plums/Prunes,1559
United Republic of Tanzania,Grapes,6301
United Republic of Tanzania,Mangoes,83166
United Republic of Tanzania,Bananas,785035
United Republic of Tanzania,Coconuts,219316
United Republic of Tanzania,Cashews,1719337
United Republic of Tanzania,Coffee,662689
United States of America,Oranges,461105
United States of America,Tangerines,75201
United States of America,Lemons/Limes,57701
United States of America,Grapefruit,37002
United States of America,Apples,302303
United States of America,Pears,40701
United States of America,Peaches,92400
United States of America,Plums/Prunes,47101
United States of America,Apricots,6291
United States of America,Grapes,899008
United States of America,Avocados,51731
United States of America,Olives,42000
United States of America,Figs,6583
United States of America,Mangoes,161
United States of America,Bananas,835
United States of America,Almonds,1350014
United States of America,Walnuts,400004
United States of America,Pistachios,428003
United States of America,Hazelnuts,68001
United States of America,Dates,15600
United States of America,Coffee,7500
Uruguay,Oranges,15768
Uruguay,Tangerines,13606
Uruguay,Lemons/Limes,6289
Uruguay,Grapefruit,175
Uruguay,Apples,4910
Uruguay,Pears,1322
Uruguay,Peaches,2493
Uruguay,Plums/Prunes,502
Uruguay,Grapes,14745
Uruguay,Olives,12726
Uzbekistan,Tangerines,294
Uzbekistan,Lemons/Limes,1552
Uzbekistan,Grapefruit,356
Uzbekistan,Apples,302602
Uzbekistan,Pears,18019
Uzbekistan,Peaches,49530
Uzbekistan,Plums/Prunes,37165
Uzbekistan,Apricots,97191
Uzbekistan,Grapes,279434
Uzbekistan,Olives,346
Uzbekistan,Figs,3198
Uzbekistan,Almonds,6687
Uzbekistan,Walnuts,13032
Uzbekistan,Pistachios,6360
Uzbekistan,Hazelnuts,7628
Vanuatu,Lemons/Limes,198
Vanuatu,Avocados,1730
Vanuatu,Mangoes,3756
Vanuatu,Bananas,4137
Vanuatu,Coconuts,219923
Vanuatu,Coffee,62
Venezuela (Bolivarian Republic of),Oranges,67064
Venezuela (Bolivarian Republic of),Tangerines,24392
Venezuela (Bolivarian Republic of),Lemons/Limes,18859
Venezuela (Bolivarian Republic of),Grapefruit,2520
Venezuela (Bolivarian Republic of),Peaches,7678
Venezuela (Bolivarian Republic of),Grapes,2992
Venezuela (Bolivarian Republic of),Avocados,28217
Venezuela (Bolivarian Republic of),Mangoes,22904
Venezuela (Bolivarian Republic of),Bananas,86151
Venezuela (Bolivarian Republic of),Coconuts,41494
Venezuela (Bolivarian Republic of),Coffee,397441
Viet Nam,Oranges,184368
Viet Nam,Grapefruit,216990
Viet Nam,Grapes,2726
Viet Nam,Avocados,41499
Viet Nam,Mangoes,292849
Viet Nam,Bananas,353625
Viet Nam,Coconuts,426822
Viet Nam,Cashews,720407
Viet Nam,Coffee,1620814
Yemen,Oranges,19998
Yemen,Tangerines,3707
Yemen,Lemons/Limes,6472
Yemen,Apples,5893
Yemen,Peaches,7495
Yemen,Apricots,1750
Yemen,Grapes,30191
Yemen,Mangoes,65117
Yemen,Bananas,25533
Yemen,Almonds,18486
Yemen,Dates,36611
Yemen,Coffee,92284
Zambia,Oranges,2254
Zambia,Bananas,393
Zambia,Coffee,20171
Zimbabwe,Oranges,10191
Zimbabwe,Tangerines,4366
Zimbabwe,Lemons/Limes,4179
Zimbabwe,Grapefruit,2409
Zimbabwe,Apples,529
Zimbabwe,Pears,1166
Zimbabwe,Peaches,857
Zimbabwe,Plums/Prunes,213
Zimbabwe,Apricots,57
Zimbabwe,Grapes,1060
Zimbabwe,Avocados,5669
Zimbabwe,Mangoes,12249
Zimbabwe,Bananas,19573
Zimbabwe,Coffee,1683
